forecast_id,region,seasonality_index,discount_pct,forecast_accurate
1,A,448.6,0.32,1
2,D,325.27,0.38,1
3,B,167.23,0.197,0
4,A,441.22,0.126,1
5,A,124.43,0.308,0
6,C,215.92,0.394,0
7,D,331.19,0.427,1
8,B,226.95,0.408,0
9,C,301.76,0.469,1
10,C,398.28,0.498,1
11,A,379.94,0.191,1
12,B,139.25,0.103,0
13,D,498.48,0.351,1
14,C,234.24,0.454,0
15,A,455.29,0.109,1
16,B,169.63,0.415,0
17,B,351.77,0.385,1
18,A,111.11,0.466,0
19,B,208.77,0.385,0
20,C,194.17,0.13,0
21,A,366.96,0.39,1
22,D,245.65,0.425,0
23,D,267.15,0.005,0
24,B,496.23,0.297,1
25,D,64.66,0.387,0
26,A,41.51,0.324,0
27,C,280.23,0.39,1
28,D,196.4,0.218,0
29,A,215.78,0.457,0
30,D,79.18,0.479,0
31,A,59.97,0.203,0
32,D,276.31,0.188,0
33,C,409.4,0.278,1
34,C,109.61,0.11,0
35,A,67.39,0.155,0
36,B,173.05,0.191,0
37,A,67.28,0.439,0
38,B,212.46,0.08,0
39,A,432.5,0.415,1
40,A,213.96,0.137,0
41,A,392.19,0.302,1
42,D,243.47,0.113,0
43,C,308.98,0.145,1
44,A,494.65,0.158,1
45,B,64.69,0.291,0
46,C,259.67,0.183,0
47,C,259.78,0.426,0
48,D,211.72,0.318,0
49,C,83.86,0.173,0
50,A,311.7,0.278,1
51,C,487.16,0.295,1
52,B,485.87,0.464,1
53,D,298.29,0.164,1
54,A,349.24,0.491,1
55,A,489.25,0.485,1
56,C,359.88,0.373,1
57,B,424.09,0.421,1
58,A,118.36,0.122,0
59,B,454.51,0.248,1
60,D,272.8,0.428,0
61,B,404.32,0.023,1
62,B,358.78,0.115,1
63,B,86.6,0.124,0
64,A,431.67,0.159,1
65,D,489.86,0.174,1
66,C,294.78,0.11,1
67,D,456.79,0.268,1
68,A,295.13,0.402,1
69,D,70.68,0.103,0
70,A,296.11,0.242,1
71,A,421.71,0.105,1
72,D,22.61,0.143,0
73,B,238.16,0.256,0
74,D,207.77,0.029,0
75,C,118.29,0.236,0
76,D,297.97,0.18,1
77,A,422.92,0.103,1
78,B,180.27,0.434,0
79,C,201.27,0.135,0
80,C,246.47,0.49,0
81,B,377.93,0.101,1
82,A,176.27,0.347,0
83,C,15.78,0.046,0
84,D,336.27,0.43,1
85,B,183.91,0.085,0
86,A,319.85,0.246,1
87,B,399.55,0.161,1
88,D,367.42,0.294,1
89,B,120.97,0.328,0
90,D,106.0,0.283,0
91,D,290.41,0.163,1
92,C,416.94,0.476,1
93,A,210.73,0.3,0
94,B,180.51,0.222,0
95,B,479.58,0.291,1
96,B,145.25,0.178,0
97,A,87.52,0.037,0
98,C,59.83,0.435,0
99,A,247.03,0.085,0
100,B,185.14,0.442,0
101,D,406.91,0.435,1
102,B,312.79,0.359,1
103,B,432.94,0.122,1
104,C,269.57,0.38,0
105,B,452.21,0.312,1
106,D,193.65,0.222,0
107,D,165.54,0.122,0
108,A,66.61,0.252,0
109,D,384.2,0.173,1
110,A,341.93,0.477,1
111,B,491.13,0.124,1
112,D,189.77,0.301,0
113,D,264.84,0.401,0
114,A,419.59,0.21,1
115,C,426.13,0.369,1
116,B,58.67,0.445,0
117,A,420.83,0.114,1
118,A,337.38,0.429,1
119,D,209.45,0.238,0
120,C,187.02,0.096,0
121,A,148.61,0.239,0
122,C,27.2,0.271,0
