project_id,duration_months,budget_kusd,team_size,complexity_score,stakeholder_engagement,risk_score,manager_experience_yrs,industry,success,completion_months
1,14.0,150.0,17,9.9,5.5,2.4,3.2,Retail,0,12.6
2,11.4,166.0,6,1.0,5.9,1.6,6.6,Finance,1,12.8
3,14.6,245.0,14,2.7,5.6,2.1,3.8,Manufacturing,1,16.8
4,18.1,237.0,15,4.5,6.3,3.0,4.7,Healthcare,0,18.1
5,11.1,199.0,4,9.4,1.3,4.1,6.2,Retail,0,12.2
6,11.1,207.0,6,1.6,4.6,4.4,6.4,Retail,1,9.0
7,18.3,277.0,6,1.1,6.5,4.1,3.2,Technology,1,18.6
8,15.1,165.0,13,1.5,6.4,3.2,7.1,Technology,0,15.3
9,10.1,233.0,7,1.8,8.1,5.6,5.9,Retail,1,16.1
10,14.2,188.0,13,1.3,6.9,8.4,2.8,Finance,0,13.7
11,10.1,187.0,12,5.3,9.9,3.5,2.3,Healthcare,0,13.6
12,10.1,266.0,10,6.2,3.6,9.5,5.0,Technology,0,14.2
13,13.0,250.0,8,3.4,4.2,8.9,6.7,Finance,0,15.2
14,4.3,249.0,8,4.6,4.5,2.5,6.8,Manufacturing,1,8.2
15,5.1,278.0,10,1.8,5.2,8.1,5.7,Technology,1,7.4
16,9.8,201.0,17,4.0,8.5,6.2,5.1,Finance,1,11.4
17,7.9,241.0,16,5.7,3.1,6.1,6.0,Finance,0,9.1
18,13.3,181.0,13,7.6,8.0,4.5,3.3,Healthcare,0,16.5
19,8.4,219.0,14,1.0,4.6,5.5,8.4,Healthcare,1,11.4
20,6.4,192.0,15,5.2,6.4,4.6,8.3,Manufacturing,1,5.5
21,17.9,206.0,10,3.7,6.7,5.9,5.9,Finance,0,16.1
22,11.1,236.0,20,8.7,4.4,6.7,5.4,Finance,1,12.0
23,12.3,151.0,3,7.4,5.6,7.1,4.2,Healthcare,0,12.1
24,6.3,326.0,17,6.3,4.7,5.8,6.1,Technology,0,7.3
25,9.8,140.0,10,3.5,1.6,7.5,3.6,Technology,0,14.3
26,12.4,127.0,13,9.2,4.9,2.3,1.0,Retail,0,12.4
27,7.4,269.0,14,1.4,1.9,2.9,1.0,Healthcare,0,8.6
28,13.5,247.0,14,2.0,4.6,8.4,3.4,Retail,0,15.5
29,9.6,237.0,6,4.5,6.3,3.9,5.3,Healthcare,1,11.9
30,10.8,238.0,18,2.1,6.2,1.2,5.7,Manufacturing,0,6.4
